BooleanUtils.and/1	ENTER	array != null
BooleanUtils.and/1	ENTER	size(org.apache.commons.lang3.BooleanUtils.BOOLEAN_LIST[]) == size(array[])
BooleanUtils.and/1	EXIT	(array[] == [1, 1])  <==>  (return == true)
BooleanUtils.and/1	EXIT	(array[] == [1, 1])  ==>  (array[] elements == return)
BooleanUtils.and/1	EXIT	(array[] == [1, 1])  ==>  (array[] elements == true)
BooleanUtils.and/1	EXIT	(array[] one of { [0, 0], [0, 1], [1, 0] })  <==>  (return == false)
BooleanUtils.and/1	EXIT	array[] == [1, 1]
BooleanUtils.and/1	EXIT	array[] elements == return
BooleanUtils.and/1	EXIT	array[] elements == true
BooleanUtils.and/1	EXIT	array[] one of { [0, 0], [0, 1], [1, 0] }
BooleanUtils.and/1	EXIT	return == false
BooleanUtils.and/1	EXIT	return == true
BooleanUtils.and/1	EXIT	return in array[]
BooleanUtils.compare/2	ENTER	x == false
BooleanUtils.compare/2	EXIT	(return == -1)  <==>  (orig(y) == true)
BooleanUtils.compare/2	EXIT	(return == 0)  <==>  (orig(y) == false)
BooleanUtils.compare/2	EXIT	orig(y) == true
BooleanUtils.compare/2	EXIT	return == -1
BooleanUtils.compare/2	EXIT	return == 0
BooleanUtils.compare/2	EXIT	return one of { -1, 0 }
BooleanUtils.isFalse/1	EXIT	(return == true)  ==>  (orig(bool) in org.apache.commons.lang3.BooleanUtils.BOOLEAN_LIST[])
BooleanUtils.isFalse/1	EXIT	orig(bool) in org.apache.commons.lang3.BooleanUtils.BOOLEAN_LIST[]
BooleanUtils.isFalse/1	EXIT	return == false
BooleanUtils.isFalse/1	EXIT	return == true
BooleanUtils.isTrue/1	EXIT	(return == true)  ==>  (orig(bool) in org.apache.commons.lang3.BooleanUtils.BOOLEAN_LIST[])
BooleanUtils.isTrue/1	EXIT	orig(bool) in org.apache.commons.lang3.BooleanUtils.BOOLEAN_LIST[]
BooleanUtils.isTrue/1	EXIT	return == false
BooleanUtils.isTrue/1	EXIT	return == true
